Frequency(Hz), Magnitude(dB)
3.016,-7.647762705
3.053,-7.755762705
3.092,-7.864762705
3.13,-7.981762705
3.17,-8.128762705
3.209,-8.314762705
3.249,-8.550762705
3.29,-8.787762705
3.331,-9.025762705
3.373,-9.264762705
3.415,-9.503762705
3.458,-9.742762705
3.502,-9.981762705
3.545,-10.2217627
3.59,-10.4607627
3.635,-10.6997627
3.68,-10.9377627
3.726,-11.1757627
3.773,-11.4117627
3.82,-11.6477627
3.868,-11.8817627
3.917,-12.1147627
3.966,-12.3447627
4.016,-12.5737627
4.066,-12.7997627
4.117,-13.0227627
4.168,-13.2427627
4.221,-13.4597627
4.274,-13.6727627
4.327,-13.8817627
4.381,-14.0857627
4.436,-14.2847627
4.492,-14.4787627
4.548,-14.6667627
4.605,-14.8487627
4.663,-15.0227627
4.721,-15.1907627
4.78,-15.3497627
4.84,-15.5007627
4.901,-15.6417627
4.962,-15.7737627
5.024,-15.8947627
5.087,-16.0047627
5.151,-16.1027627
5.216,-16.1877627
5.281,-16.2587627
5.347,-16.3147627
5.414,-16.3557627
5.482,-16.3807627
5.551,-16.3877627
5.62,-16.3757627
5.691,-16.3457627
5.762,-16.2967627
5.834,-16.2287627
5.907,-16.1417627
5.981,-16.0357627
6.056,-15.9127627
6.132,-15.7727627
6.209,-15.6157627
6.287,-15.4427627
6.366,-15.2557627
6.445,-15.0537627
6.526,-14.8377627
6.608,-14.6087627
6.691,-14.3677627
6.775,-14.1147627
6.859,-13.8517627
6.945,-13.5787627
7.032,-13.2977627
7.121,-13.0097627
7.21,-12.7147627
7.3,-12.4157627
7.392,-12.1137627
7.484,-11.8097627
7.578,-11.5067627
7.673,-11.2057627
7.769,-10.9087627
7.866,-10.6167627
7.965,-10.3347627
8.065,-10.0617627
8.166,-9.802762705
8.268,-9.559762705
8.372,-9.334762705
8.477,-9.130762705
8.583,-8.947762705
8.69,-8.783762705
8.799,-8.637762705
8.91,-8.507762705
9.021,-8.391762705
9.134,-8.286762705
9.249,-8.191762705
9.365,-8.102762705
9.482,-8.016762705
9.601,-7.932762705
9.721,-7.849762705
9.843,-7.767762705
9.966,-7.686762705
10.091,-7.604762705
10.217,-7.523762705
10.345,-7.440762705
10.475,-7.355762705
10.606,-7.268762705
10.739,-7.178762705
10.874,-7.084762705
11.01,-6.986762705
11.148,-6.883762705
11.288,-6.775762705
11.429,-6.663762705
11.572,-6.546762705
11.717,-6.426762705
11.864,-6.302762705
12.013,-6.174762705
12.163,-6.043762705
12.316,-5.908762705
12.47,-5.771762705
12.626,-5.630762705
12.785,-5.485762705
12.945,-5.337762705
13.107,-5.184762705
13.271,-5.027762705
13.437,-4.866762705
13.606,-4.700762705
13.776,-4.530762705
13.949,-4.355762705
14.124,-4.175762705
14.301,-3.990762705
14.48,-3.798762705
14.661,-3.598762705
14.845,-3.389762705
15.031,-3.172762705
15.219,-2.945762705
15.41,-2.709762705
15.603,-2.465762705
15.799,-2.214762705
15.997,-1.957762705
16.197,-1.698762705
16.4,-1.437762705
16.605,-1.181762705
16.814,-0.936762705
17.024,-0.708762705
17.238,-0.501762705
17.454,-0.319762705
17.672,-0.160762705
17.894,-0.026762705
18.118,0.083237295
18.345,0.172237295
18.575,0.241237295
18.807,0.299237295
19.043,0.352237295
19.282,0.407237295
19.523,0.470237295
19.768,0.545237295
20.016,0.637237295
20.266,0.750237295
20.52,0.884237295
20.778,1.042237295
21.038,1.221237295
21.301,1.418237295
21.568,1.629237295
21.839,1.848237295
22.112,2.067237295
22.389,2.276237295
22.67,2.468237295
22.954,2.640237295
23.242,2.790237295
23.533,2.920237295
23.828,3.029237295
24.126,3.119237295
24.429,3.193237295
24.735,3.255237295
25.045,3.309237295
25.358,3.362237295
25.676,3.415237295
25.998,3.468237295
26.324,3.523237295
26.653,3.578237295
26.987,3.633237295
27.326,3.690237295
27.668,3.747237295
28.015,3.809237295
28.366,3.878237295
28.721,3.956237295
29.081,4.046237295
29.445,4.147237295
29.814,4.260237295
30.188,4.383237295
30.566,4.513237295
30.949,4.646237295
31.337,4.779237295
31.73,4.908237295
32.127,5.030237295
32.53,5.145237295
32.937,5.254237295
33.35,5.357237295
33.768,5.457237295
34.191,5.558237295
34.619,5.661237295
35.053,5.770237295
35.492,5.883237295
35.937,6.001237295
36.387,6.115237295
36.843,6.219237295
37.305,6.310237295
37.772,6.384237295
38.246,6.441237295
38.725,6.483237295
39.21,6.512237295
39.701,6.529237295
40.199,6.539237295
40.703,6.547237295
41.213,6.558237295
41.729,6.575237295
42.252,6.600237295
42.781,6.630237295
43.317,6.664237295
43.86,6.700237295
44.41,6.736237295
44.966,6.776237295
45.53,6.824237295
46.1,6.882237295
46.678,6.950237295
47.263,7.025237295
47.855,7.099237295
48.454,7.166237295
49.062,7.222237295
49.676,7.268237295
50.299,7.306237295
50.929,7.338237295
51.567,7.365237295
52.213,7.389237295
52.868,7.412237295
53.53,7.438237295
54.201,7.470237295
54.88,7.510237295
55.567,7.555237295
56.264,7.603237295
56.969,7.649237295
57.683,7.692237295
58.405,7.727237295
59.137,7.752237295
59.878,7.764237295
60.628,7.765237295
61.388,7.764237295
62.157,7.773237295
62.936,7.800237295
63.725,7.840237295
64.523,7.880237295
65.332,7.910237295
66.15,7.933237295
66.979,7.955237295
67.818,7.980237295
68.668,8.006237295
69.529,8.023237295
70.4,8.031237295
71.282,8.036237295
72.175,8.048237295
73.079,8.076237295
73.995,8.117237295
74.922,8.164237295
75.861,8.206237295
76.812,8.240237295
77.774,8.261237295
78.749,8.264237295
79.735,8.248237295
80.734,8.214237295
81.746,8.172237295
82.77,8.129237295
83.807,8.091237295
84.858,8.062237295
85.921,8.044237295
86.997,8.038237295
