Frequency(Hz), Magnitude(dB),  Phase(deg)
    3.016, 92.399834, 145.776535
    3.053, 92.531815, 145.776535
    3.092, 92.668030, 145.776535
    3.130, 92.815613, 145.776535
    3.170, 92.994415, 143.893463
    3.209, 93.212433, 140.956665
    3.249, 93.476929, 139.976273
    3.290, 93.743561, 138.032318
    3.331, 94.012314, 136.072006
    3.373, 94.283134, 134.095596
    3.415, 94.555962, 132.103287
    3.458, 94.830734, 130.095383
    3.502, 95.107391, 128.072159
    3.545, 95.385864, 126.033920
    3.590, 95.666084, 123.981018
    3.635, 95.947968, 121.913826
    3.680, 96.231430, 119.832718
    3.726, 96.516380, 117.738159
    3.773, 96.802719, 115.630608
    3.820, 97.090363, 113.510536
    3.868, 97.379166, 111.378479
    3.917, 97.669037, 109.235031
    3.966, 97.959839, 107.080765
    4.016, 98.251450, 104.916344
    4.066, 98.543716, 102.742462
    4.117, 98.836510, 100.559837
    4.168, 99.129646, 98.369255
    4.221, 99.422981, 96.171532
    4.274, 99.716309, 93.967567
    4.327, 100.009476, 91.758270
    4.381, 100.302269, 89.544647
    4.436, 100.594475, 87.327721
    4.492, 100.885887, 85.108597
    4.548, 101.176262, 82.888435
    4.605, 101.465363, 80.668488
    4.663, 101.752930, 78.450027
    4.721, 102.038696, 76.234459
    4.780, 102.322372, 74.023186
    4.840, 102.603668, 71.817764
    4.901, 102.882248, 69.619781
    4.962, 103.157814, 67.430931
    5.024, 103.430008, 65.252983
    5.087, 103.698456, 63.087814
    5.151, 103.962784, 60.937389
    5.216, 104.222603, 58.803783
    5.281, 104.477493, 56.689159
    5.347, 104.727013, 54.595783
    5.414, 104.970703, 52.526070
    5.482, 105.208092, 50.482529
    5.551, 105.438766, 48.466835
    5.620, 105.662750, 46.477436
    5.691, 105.880417, 44.512341
    5.762, 106.092445, 42.569412
    5.834, 106.299583, 40.646351
    5.907, 106.502594, 38.740646
    5.981, 106.702209, 36.849632
    6.056, 106.899231, 34.970413
    6.132, 107.094391, 33.099899
    6.209, 107.288361, 31.234779
    6.287, 107.481552, 29.371500
    6.366, 107.674149, 27.507231
    6.445, 107.866066, 25.642254
    6.526, 108.057213, 23.777132
    6.608, 108.247513, 21.912447
    6.691, 108.436859, 20.048807
    6.775, 108.625168, 18.186836
    6.859, 108.812340, 16.327192
    6.945, 108.998268, 14.470549
    7.032, 109.182854, 12.617605
    7.121, 109.365982, 10.769091
    7.210, 109.547531, 8.925753
    7.300, 109.727402, 7.088377
    7.392, 109.905472, 5.257768
    7.484, 110.081619, 3.434763
    7.578, 110.255699, 1.620227
    7.673, 110.427589, -0.184948
    7.769, 110.597160, -1.979830
    7.866, 110.764267, -3.763463
    7.965, 110.928757, -5.534853
    8.065, 111.090485, -7.292979
    8.166, 111.249306, -9.036774
    8.268, 111.405106, -10.765760
    8.372, 111.558487, -12.485917
    8.477, 111.710098, -14.198202
    8.583, 111.860535, -15.903611
    8.690, 112.010078, -17.603168
    8.799, 112.158928, -19.297956
    8.910, 112.307251, -20.989092
    9.021, 112.455208, -22.677736
    9.134, 112.602951, -24.365088
    9.249, 112.750465, -26.052414
    9.365, 112.897446, -27.741005
    9.482, 113.043434, -29.431593
    9.601, 113.187927, -31.118465
    9.721, 113.330833, -32.800953
    9.843, 113.472054, -34.478348
    9.966, 113.611458, -36.149933
   10.091, 113.748947, -37.814960
   10.217, 113.884422, -39.472649
   10.345, 114.017731, -41.122196
   10.475, 114.148773, -42.762772
   10.606, 114.277420, -44.393520
   10.739, 114.403534, -46.013542
   10.874, 114.526978, -47.621925
   11.010, 114.647629, -49.217720
   11.148, 114.764969, -50.798859
   11.288, 114.878647, -52.366028
   11.429, 114.988487, -53.919960
   11.572, 115.094635, -55.461422
   11.717, 115.197311, -56.991188
   11.864, 115.296753, -58.510105
   12.013, 115.393204, -60.019032
   12.163, 115.486877, -61.518867
   12.316, 115.578117, -63.010559
   12.470, 115.667351, -64.495064
   12.626, 115.754997, -65.973404
   12.785, 115.841354, -67.447731
   12.945, 115.926353, -68.917412
   13.107, 116.009918, -70.381836
   13.271, 116.091980, -71.840317
   13.437, 116.172424, -73.292183
   13.606, 116.251205, -74.736717
   13.776, 116.328209, -76.173393
   13.949, 116.403564, -77.604836
   14.124, 116.477394, -79.031380
   14.301, 116.549881, -80.453377
   14.480, 116.621162, -81.871178
   14.661, 116.691353, -83.285172
   14.845, 116.760551, -84.695747
   15.031, 116.828873, -86.103310
   15.219, 116.896431, -87.508301
   15.410, 116.963280, -88.911148
   15.603, 117.029419, -90.312325
   15.799, 117.094734, -91.712067
   15.997, 117.159081, -93.107529
   16.197, 117.222397, -94.498085
   16.400, 117.284630, -95.883118
   16.605, 117.345741, -97.261963
   16.814, 117.405716, -98.634407
   17.024, 117.464607, -100.000557
   17.238, 117.522446, -101.360466
   17.454, 117.579277, -102.714195
   17.672, 117.635124, -104.061852
   17.894, 117.690048, -105.403503
   18.118, 117.744072, -106.739250
   18.345, 117.797241, -108.069199
   18.575, 117.849571, -109.393410
   18.807, 117.901039, -110.712036
   19.043, 117.951591, -112.025200
   19.282, 118.001183, -113.332489
   19.523, 118.049881, -114.633255
   19.768, 118.097717, -115.927666
   20.016, 118.144753, -117.215897
   20.266, 118.190956, -118.498131
   20.520, 118.236313, -119.774551
   20.778, 118.280785, -121.045380
   21.038, 118.324310, -122.310791
   21.301, 118.366859, -123.571060
   21.568, 118.408363, -124.826393
   21.839, 118.448700, -126.077003
   22.112, 118.487617, -127.323753
   22.389, 118.524742, -128.568298
   22.670, 118.559807, -129.810577
   22.954, 118.592682, -131.050461
   23.242, 118.623352, -132.287888
   23.533, 118.651848, -133.522751
   23.828, 118.678207, -134.754944
   24.126, 118.702484, -135.984375
   24.429, 118.724739, -137.210968
   24.735, 118.745087, -138.434570
   25.045, 118.763878, -139.654282
   25.358, 118.781433, -140.869705
   25.676, 118.798019, -142.079681
   25.998, 118.813644, -143.284058
   26.324, 118.828354, -144.482620
   26.653, 118.842155, -145.675171
   26.987, 118.855064, -146.861542
   27.326, 118.867096, -148.041519
   27.668, 118.878242, -149.215042
   28.015, 118.888412, -150.382462
   28.366, 118.897537, -151.544067
   28.721, 118.905472, -152.700989
   29.081, 118.912216, -153.853287
   29.445, 118.917755, -155.000916
   29.814, 118.922073, -156.143845
   30.188, 118.925163, -157.282013
   30.566, 118.927010, -158.415405
   30.949, 118.927673, -159.544388
   31.337, 118.927162, -160.669357
   31.730, 118.925552, -161.790558
   32.127, 118.922844, -162.907867
   32.530, 118.919037, -164.021210
   32.937, 118.914124, -165.130493
   33.350, 118.908127, -166.236099
   33.768, 118.901016, -167.338318
   34.191, 118.892807, -168.437317
   34.619, 118.883499, -169.533386
   35.053, 118.873100, -170.626694
   35.492, 118.861603, -171.717072
   35.937, 118.848999, -172.804321
   36.387, 118.835335, -173.888351
   36.843, 118.820602, -174.969116
   37.305, 118.804855, -176.046600
   37.772, 118.788132, -177.120728
   38.246, 118.770439, -178.191040
   38.725, 118.751785, -179.256958
   39.210, 118.732193, 179.681824
   39.701, 118.711670, 178.625381
   40.199, 118.690247, 177.573700
   40.703, 118.667915, 176.526825
   41.213, 118.644684, 175.484772
   41.729, 118.620529, 174.447342
   42.252, 118.595459, 173.414322
   42.781, 118.569450, 172.385696
   43.317, 118.542488, 171.361191
   43.860, 118.514549, 170.340714
   44.410, 118.485550, 169.323715
