Frequency(Hz),Magnitude(dB),Phase(deg)
3.016,-21.025032395573106,145.776535
3.053,-20.89305139557311,145.776535
3.092,-20.756836395573103,145.776535
3.13,-20.609253395573106,145.776535
3.17,-20.4304513955731,143.893463
3.209,-20.2124333955731,140.956665
3.249,-19.947937395573106,139.976273
3.29,-19.681305395573105,138.032318
3.331,-19.4125523955731,136.072006
3.373,-19.1417323955731,134.095596
3.415,-18.86890439557311,132.103287
3.458,-18.594132395573098,130.095383
3.502,-18.317475395573098,128.072159
3.545,-18.039002395573107,126.03392
3.59,-17.758782395573107,123.981018
3.635,-17.4768983955731,121.913826
3.68,-17.1934363955731,119.832718
3.726,-16.908486395573107,117.738159
3.773,-16.62214739557311,115.630608
3.82,-16.33450339557311,113.510536
3.868,-16.045700395573107,111.378479
3.917,-15.755829395573102,109.235031
3.966,-15.465027395573102,107.080765
4.016,-15.1734163955731,104.916344
4.066,-14.881150395573101,102.742462
4.117,-14.5883563955731,100.559837
4.168,-14.29522039557311,98.369255
4.221,-14.001885395573112,96.171532
4.274,-13.70855739557311,93.967567
4.327,-13.415390395573098,91.75827
4.381,-13.12259739557311,89.544647
4.436,-12.830391395573102,87.327721
4.492,-12.538979395573108,85.108597
4.548,-12.24860439557311,82.888435
4.605,-11.959503395573108,80.668488
4.663,-11.671936395573098,78.450027
4.721,-11.386170395573103,76.234459
4.78,-11.102494395573103,74.023186
4.84,-10.821198395573106,71.817764
4.901,-10.5426183955731,69.619781
4.962,-10.267052395573103,67.430931
5.024,-9.994858395573104,65.252983
5.087,-9.726410395573112,63.087814
5.151,-9.462082395573105,60.937389
5.216,-9.202263395573098,58.803783
5.281,-8.94737339557311,56.689159
5.347,-8.697853395573105,54.595783
5.414,-8.454163395573104,52.52607
5.482,-8.216774395573111,50.482529
5.551,-7.986100395573104,48.466835
5.62,-7.762116395573102,46.477436
5.691,-7.5444493955731105,44.512341
5.762,-7.332421395573107,42.569412
5.834,-7.125283395573106,40.646351
5.907,-6.922272395573103,38.740646
5.981,-6.722657395573108,36.849632
6.056,-6.525635395573104,34.970413
6.132,-6.330475395573103,33.099899
6.209,-6.13650539557311,31.234779
6.287,-5.943314395573111,29.3715
6.366,-5.750717395573105,27.507231
6.445,-5.558800395573101,25.642254
6.526,-5.3676533955731,23.777132
6.608,-5.177353395573107,21.912447
6.691,-4.988007395573106,20.048807
6.775,-4.7996983955731025,18.186836
6.859,-4.612526395573099,16.327192
6.945,-4.426598395573109,14.470549
7.032,-4.242012395573099,12.617605
7.121,-4.058884395573102,10.769091
7.21,-3.8773353955730983,8.925753
7.3,-3.697464395573107,7.088377
7.392,-3.5193943955731015,5.257768
7.484,-3.3432473955731012,3.434763
7.578,-3.1691673955730977,1.620227
7.673,-2.997277395573107,-0.184948
7.769,-2.8277063955731023,-1.97983
7.866,-2.660599395573101,-3.763463
7.965,-2.4961093955731,-5.534853
8.065,-2.3343813955731036,-7.292979
8.166,-2.1755603955731004,-9.036774
8.268,-2.019760395573101,-10.76576
8.372,-1.8663793955731052,-12.485917
8.477,-1.7147683955731026,-14.198202
8.583,-1.564331395573106,-15.903611
8.69,-1.4147883955731118,-17.603168
8.799,-1.2659383955731016,-19.297956
8.91,-1.117615395573111,-20.989092
9.021,-0.9696583955731057,-22.677736
9.134,-0.8219153955731002,-24.365088
9.249,-0.6744013955730992,-26.052414
9.365,-0.5274203955731025,-27.741005
9.482,-0.3814323955730998,-29.431593
9.601,-0.23693939557310273,-31.118465
9.721,-0.0940333955731063,-32.800953
9.843,0.04718760442689529,-34.478348
9.966,0.18659160442689426,-36.149933
10.091,0.32408060442689646,-37.81496
10.217,0.459555604426896,-39.472649
10.345,0.592864604426893,-41.122196
10.475,0.7239066044269009,-42.762772
10.606,0.8525536044269018,-44.39352
10.739,0.9786676044268887,-46.013542
10.874,1.102111604426895,-47.621925
11.01,1.2227626044268902,-49.21772
11.148,1.3401026044268889,-50.798859
11.288,1.4537806044268962,-52.366028
11.429,1.5636206044269017,-53.91996
11.572,1.669768604426892,-55.461422
11.717,1.7724446044268944,-56.991188
11.864,1.8718866044268907,-58.510105
12.013,1.9683376044268925,-60.019032
12.163,2.062010604426902,-61.518867
12.316,2.1532506044269013,-63.010559
12.47,2.242484604426892,-64.495064
12.626,2.3301306044268983,-65.973404
12.785,2.416487604426891,-67.447731
12.945,2.5014866044269013,-68.917412
13.107,2.5850516044268943,-70.381836
13.271,2.667113604426902,-71.840317
13.437,2.747557604426902,-73.292183
13.606,2.826338604426894,-74.736717
13.776,2.9033426044268964,-76.173393
13.949,2.9786976044268982,-77.604836
14.124,3.052527604426899,-79.03138
14.301,3.1250146044268945,-80.453377
14.48,3.1962956044268935,-81.871178
14.661,3.266486604426902,-83.285172
14.845,3.335684604426902,-84.695747
15.031,3.404006604426897,-86.10331
15.219,3.471564604426902,-87.508301
15.41,3.538413604426893,-88.911148
15.603,3.6045526044268996,-90.312325
15.799,3.669867604426898,-91.712067
15.997,3.734214604426896,-93.107529
16.197,3.797530604426896,-94.498085
16.4,3.8597636044269024,-95.883118
16.605,3.920874604426899,-97.261963
16.814,3.9808496044268935,-98.634407
17.024,4.039740604426896,-100.000557
17.238,4.0975796044268975,-101.360466
17.454,4.1544106044269,-102.714195
17.672,4.2102576044269,-104.061852
17.894,4.2651816044269,-105.403503
18.118,4.319205604426898,-106.73925
18.345,4.372374604426895,-108.069199
18.575,4.424704604426893,-109.39341
18.807,4.476172604426893,-110.712036
19.043,4.526724604426889,-112.0252
19.282,4.576316604426893,-113.332489
19.523,4.6250146044268945,-114.633255
19.768,4.672850604426898,-115.927666
20.016,4.71988660442689,-117.215897
20.266,4.766089604426895,-118.498131
20.52,4.811446604426891,-119.774551
20.778,4.85591860442689,-121.04538
21.038,4.899443604426892,-122.310791
21.301,4.9419926044269005,-123.57106
21.568,4.98349660442689,-124.826393
21.839,5.023833604426898,-126.077003
22.112,5.0627506044268955,-127.323753
22.389,5.099875604426899,-128.568298
22.67,5.134940604426902,-129.810577
22.954,5.167815604426892,-131.050461
23.242,5.198485604426892,-132.287888
23.533,5.226981604426896,-133.522751
23.828,5.253340604426896,-134.754944
24.126,5.277617604426894,-135.984375
24.429,5.299872604426895,-137.210968
24.735,5.320220604426893,-138.43457
25.045,5.339011604426901,-139.654282
25.358,5.356566604426902,-140.869705
25.676,5.373152604426892,-142.079681
25.998,5.388777604426892,-143.284058
26.324,5.4034876044269,-144.48262
26.653,5.417288604426901,-145.675171
26.987,5.430197604426894,-146.861542
27.326,5.442229604426899,-148.041519
27.668,5.4533756044268955,-149.215042
28.015,5.463545604426898,-150.382462
28.366,5.472670604426895,-151.544067
28.721,5.4806056044268985,-152.700989
29.081,5.487349604426896,-153.853287
29.445,5.492888604426895,-155.000916
29.814,5.497206604426893,-156.143845
30.188,5.500296604426893,-157.282013
30.566,5.502143604426891,-158.415405
30.949,5.502806604426894,-159.544388
31.337,5.502295604426891,-160.669357
31.73,5.5006856044268915,-161.790558
32.127,5.497977604426893,-162.907867
32.53,5.494170604426898,-164.02121
32.937,5.489257604426896,-165.130493
33.35,5.483260604426889,-166.236099
33.768,5.476149604426894,-167.338318
34.191,5.4679406044269,-168.437317
34.619,5.458632604426896,-169.533386
35.053,5.448233604426889,-170.626694
35.492,5.436736604426898,-171.717072
35.937,5.424132604426902,-172.804321
36.387,5.410468604426896,-173.888351
36.843,5.395735604426889,-174.969116
37.305,5.379988604426899,-176.0466
37.772,5.3632656044269,-177.120728
38.246,5.345572604426891,-178.19104
38.725,5.3269186044268935,-179.256958
39.21,5.3073266044268905,179.681824
39.701,5.286803604426893,178.625381
40.199,5.265380604426895,177.5737
40.703,5.243048604426889,176.526825
41.213,5.219817604426893,175.484772
41.729,5.1956626044269,174.447342
42.252,5.170592604426901,173.414322
42.781,5.144583604426899,172.385696
43.317,5.117621604426901,171.361191
43.86,5.089682604426898,170.340714
44.41,5.060683604426899,169.323715
44.966,5.030524604426901,168.30983
45.53,4.99912160442689,167.299133
46.1,4.966414604426902,166.291687
46.678,4.932479604426902,165.287567
47.263,4.8974986044269,164.287903
47.855,4.8617166044268885,163.292892
48.454,4.825370604426894,162.3022
49.062,4.7886196044268985,161.315582
49.676,4.751547604426889,160.332443
50.299,4.714217604426892,159.351318
50.929,4.676673604426895,158.37207
51.567,4.638930604426889,157.394501
52.213,4.6008446044268965,156.418198
52.868,4.562194604426892,155.444473
53.53,4.522673604426899,154.473602
54.201,4.482024604426897,153.504532
54.88,4.440154604426894,152.537704
55.567,4.397139604426897,151.574631
56.264,4.353179604426899,150.615463
56.969,4.3084486044269,149.66011
57.683,4.263060604426897,148.709229
58.405,4.216994604426901,147.761658
59.137,4.170203604426902,146.816864
59.878,4.122664604426902,145.874496
60.628,4.074408604426893,144.932892
61.388,4.025466604426896,143.994751
62.157,3.975814604426901,143.059799
62.936,3.925383604426898,142.127762
63.725,3.874159604426893,141.197098
64.523,3.8222196044268912,140.267441
65.332,3.7698056044268924,139.339203
66.15,3.717078604426902,138.41275
66.979,3.663993604426892,137.489273
67.818,3.6103586044268923,136.569275
68.668,3.5559986044268896,135.653046
69.529,3.501013604426902,134.740402
70.4,3.4456476044268953,133.827896
71.282,3.390059604426895,132.915497
72.175,3.3341666044268976,132.003769
73.079,3.27779360442689,131.093155
73.995,3.2208396044268994,130.184021
74.922,3.163390604426894,129.276184
75.861,3.1055826044268997,128.369263
76.812,3.047454604426889,127.463036
77.774,2.9888986044268933,126.55703
78.749,2.9297406044268968,125.651047
79.735,2.869956604426889,124.745255
80.734,2.809790604426894,123.839981
81.746,2.74963360442689,122.935989
82.77,2.6896736044269005,122.033691
83.807,2.6297526044268977,121.137077
84.858,2.5696096044269012,120.246017
85.921,2.509047604426897,119.355225
86.997,2.4478986044268964,118.461807
88.087,2.385871604426896,117.565414
89.191,2.3229746044268893,116.666008
90.309,2.259200604426894,115.763634
91.44,2.194564604426901,114.862022
92.586,2.1290426044268997,113.965462
93.746,2.0629266044268917,113.070473
94.921,1.996947604426893,112.171501
96.11,1.9317236044268924,111.262848
97.315,1.8673856044269002,110.349373
98.534,1.8037256044269014,109.436775
99.769,1.7404166044268976,108.526642
101.019,1.6772456044269006,107.618042
102.284,1.6139366044268968,106.710983
103.566,1.5501776044268922,105.805824
104.864,1.4856556044268956,104.89946
106.178,1.4205696044269018,103.990555
107.508,1.355132604426899,103.079132
108.855,1.289061604426891,102.157272
110.219,1.2221826044268909,101.22744
111.6,1.154570604426894,100.307114
112.999,1.0865086044268963,99.392273
114.414,1.0185536044268986,98.463783
115.848,0.9513166044268928,97.525589
117.3,0.8846426044269009,96.588158
118.769,0.8177786044268913,95.649773
120.258,0.7498776044268993,94.707779
121.764,0.6808766044268992,93.761604
123.29,0.611319604426896,92.821716
124.835,0.541495604426899,91.889946
126.399,0.47090060442690174,90.957626
127.983,0.39904760442689735,90.024399
129.587,0.3259576044268897,89.095306
